,DNA16S_1,DNA16S_2,DNA16S_3,DNA16S_4,DNA16S_5,DNA16S_6,DNA16S_8,DNA16S_9,DNA16S_10,DNA16S_11,DNA16S_12,DNA16S_13,DNA16S_14,DNA16S_15,DNA16S_16,DNA16S_17,DNA16S_18,DNA16S_20,DNA16S_21,DNA16S_22,DNA16S_23,DNA16S_24,DNA16S_25,DNA16S_26,DNA16S_27,DNA16S_28,DNA16S_29,DNA16S_31,DNA16S_33,DNA16S_34,DNA16S_35,DNA16S_36,DNA16S_37,DNA16S_38,DNA16S_39,DNA16S_40,DNA16S_41,DNA16S_42,DNA16S_43,DNA16S_44,DNA16S_45,DNA16S_46,DNA16S_47,DNA16S_48,DNA16S_49,DNA16S_50,DNA16S_51,DNA16S_52,DNA16S_53,DNA16S_54,DNA16S_55,DNA16S_56,DNA16S_57,DNA16S_58,DNA16S_59,DNA16S_60
OTU27,0.023411322,0.170167821,0.129884869,0.064287272,0.094257541,0.249572048,0.093658014,0.055612198,0.024102193,0.031765283,0,0.961009427,0.08906419,0.049397352,0,0,0.03500175,0.053543751,0.017428283,1.799585707,0.79526702,0.009013069,0,0.032175973,0.096392178,0.080269706,0.13770656,0.029638411,0.056341555,0.005149728,0.053625054,0.028985507,0.063030303,0.031992234,0.042322342,0.025804549,0.138511534,0.042879195,0.022605,0.058170537,0.020638415,0.062303608,0.051132788,0.02894007,0.014248494,0.025606704,0.030138274,0.030175015,0.042211329,0.030595941,0.035817688,0.055300854,0.003447265,0.074443108,0.075020095,0.061258978
OTU28,0.19899624,0.060145523,0.152583196,0.185973895,0.229601701,0.140784232,0.247524752,0.064880897,0.061460593,0.025989777,0.034899953,0.073359498,0.101787646,0.128433116,0,0.047110553,0.10500525,0.028180922,0.006971313,0.097099948,0.503844668,0.121676431,0.055836461,0.064351947,0.068851556,0.160539412,0.089196294,0.122787704,0.012520346,0.005149728,0.049335049,0.03051106,0.084848485,0.067294009,0.050017314,0.066354555,0.0319642,0.034303356,0.076857001,0.059786385,0.110071547,0.086683281,0.082599119,0.040998432,0.030532487,0.1897224,0.176007523,0.127800064,0.332244009,0.202839757,0.065665761,0.112385608,0.048261716,0.131707038,0.083951058,0.040135192
OTU29,1.040340635,1.20437742,0.878929648,1.286893432,1.419905259,1.001487833,1.143965748,1.204930948,0.596529284,0.713275001,0.570032573,0.799618531,0.057255551,0.222288085,0.75648415,1.052135678,0.0700035,1.090601663,1.101467461,0.919212843,1.172711632,1.243803515,0.62350715,1.450843888,0.56458276,1.023747484,0.381822734,0.694385638,0.694879179,1.035095399,0.594165594,0.994660564,0.826666667,0.841726698,0.850294333,0.840491024,0.687230302,0.751815219,0.257697003,1.058380597,0.582461934,0.793693791,1.274386407,0.508862896,0.665608207,1.038235465,0.806500223,0.678050339,0.836056645,1.21703854,0.723815778,0.784915354,0.327490218,0.566912902,0.598374565,0.430925222
OTU30,2.848865282,2.763760122,2.820897593,3.254543159,3.647041763,2.289343594,3.271340648,2.836222078,3.397204146,2.752028647,3.024662634,3.93573708,4.10331446,6.910689587,2.917867435,4.569723618,1.94259713,3.753698746,6.451950225,3.864577939,5.099891156,1.978368635,2.500232652,4.010296311,1.831451391,2.716820826,1.927891838,1.693623507,2.222361337,4.109483225,2.878592879,3.482837529,4.014545455,4.015576908,3.458889616,3.822759612,3.928932928,3.504659539,2.943171029,3.349653401,2.83663548,4.369379131,4.263687854,4.150488364,3.975329751,5.972181808,4.839001338,2.472576236,2.788671024,3.282831144,2.420678745,2.775746116,1.268593688,1.849624921,1.662945432,2.00887199
OTU31,0.08047642,0.088017838,0.078183125,0.106762791,0.0725058,0.063992833,0.046829007,0.046343498,0.028922632,0.043316296,0,0.036679749,0.057255551,0,0,0,0,0.03945329,0,0,0.007022225,0,0.006204051,0.040951239,0.009180207,0.071625276,0.035991487,0.006351088,0,0.043772691,0.036465036,0.054919908,0.00969697,0.037508136,0,0.036863641,0.037291567,0.005717226,0,0.003231696,0.004586314,0.037923935,0,0.024116725,0,0.023278822,0.008438717,0,0.029956427,0.014731379,0,0.003567797,0,0,0,0
OTU32,0.294104736,0,0.19041374,0.017219805,0.02054331,0.079991041,0,0,0.148228489,0,0.16286645,1.01602905,0,0,0,0,0.437521876,0.008454276,0.121997978,0.058259969,0.028088901,0.279405137,0.204733691,0,0,0.033342801,0.179957436,0.203234821,0.062601728,0,0.336765337,0.485125858,0.143030303,0.011031805,0.95032896,0.018431821,0.02397315,0.082899777,0.452100005,0.02746942,0.364611998,0.113771806,0.082599119,0.277342337,0.061064973,0.157132049,0.014466372,0.509425255,0.699891068,0.422677258,0.199982091,0.010703391,0.324042953,0.234782111,0.108957757,0.128855091
OTU33,0.030727361,0,0,0.010331883,0.00966744,0.009598925,0,0,0.013256206,0.040428543,0,0.011003925,0,0.024698676,0,0,0,0,0,0.01941999,0.005266669,0.009013069,0,0,0.032130726,0.020993615,0.004694542,0.008468118,0,0,0.017160017,0.010678871,0,0,0,0,0.021309467,0.034303356,0,0,0,0,0,0,0,0,0,0.008875004,0,0,0.025370862,0.01248729,0.049985349,0.011452786,0,0.010561893
OTU34,0.005852831,0.057211595,0.158888286,0.067731233,0.04712877,0.055993729,0.060208724,0.041709148,0.124126295,0.09529585,0.023266636,0.102703298,0.050893823,0.00987947,0.036023055,0.031407035,0,0.07890658,0.020913939,0,0.08602226,0.018026138,0.062040512,0.049726504,0,0.122256937,0.093890836,0.06986197,0.037561037,0.064371604,0.047190047,0.160183066,0.014545455,0.02426997,0,0.018431821,0.029300517,0.005717226,0,0.084024108,0.096312603,0.029797378,0.007866583,0.0964669,0,0.081475877,0.065098673,0.051475026,0.083061002,0.041927771,0.091036624,0.016055087,0.099970698,0.011452786,0.016075735,0.010561893
OTU35,2.41575582,1.936392442,1.29884869,1.852851026,1.846481052,1.308653431,1.592186246,2.043748262,1.056881176,0.81723411,1.744997673,1.918350878,1.304154208,1.778304683,1.675072046,4.978015075,0.682534127,1.462589827,1.498832305,1.495339202,2.197956532,1.261829653,1.975990322,2.117764062,1.629486826,2.099361547,1.096957937,1.627995597,2.842118442,2.708757113,1.066066066,1.714721587,2.019393939,1.52680177,1.342772498,1.695727504,1.808640989,2.424103825,1.98471902,1.554446006,1.382773803,1.121464947,2.536972939,1.355359942,1.038104543,2.038060874,1.433376331,1.029500515,1.22412854,1.353020499,2.195325792,2.151381629,1.216884706,1.637748382,1.654014468,1.233629066
OTU36,0.002926415,0,0.026481381,0.021811753,0.00845901,0.003199642,0,0,0.004820439,0.069306073,0,0,0,0,0,0,0,0,0,0,0.010533338,0,0,0,0,0.002469837,0.007824236,0,0,0,0,0,0.007272727,0,0.007694971,0,0.013318417,0,0,0,0,0,0.011799874,0,0.004070998,0.022114881,0.047015708,0,0.014978214,0.005665915,0.004477211,0.007135594,0,0,0.003572385,0.008449514
