,Domain,Phylum,Class,Order,Family,Genus
OTU443,d__Bacteria,p__Desulfobacterota,c__Syntrophobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__Syntrophobacter
OTU444,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Longispora
OTU445,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Anaeromyxobacteraceae,g__Anaeromyxobacter
OTU446,d__Bacteria,p__Armatimonadota,c__Armatimonadia,o__Armatimonadales,f__Armatimonadales,g__Armatimonadales
OTU447,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharothrix
OTU448,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Alterococcus
OTU449,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__uncultured
OTU450,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Promicromonosporaceae,g__Promicromonospora
OTU451,d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__Geobacterales,f__Geobacteraceae,g__Geobacter
OTU452,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Gordonia
OTU453,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__Thermomicrobiaceae,g__Sphaerobacter
OTU454,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,__
OTU455,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__TM7a
OTU456,d__Bacteria,p__Myxococcota,c__Polyangia,o__Nannocystales,f__Nannocystaceae,g__Nannocystaceae
OTU457,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Amycolatopsis
OTU458,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__uncultured,g__uncultured
OTU459,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,__
OTU460,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Elev-16S-1166,f__Elev-16S-1166,g__Elev-16S-1166
OTU461,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,__,__
OTU462,d__Bacteria,p__Planctomycetota,c__Planctomycetes,__,__,__
OTU463,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,__
OTU464,d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Kaiserbacteria,f__Candidatus_Kaiserbacteria,g__Candidatus_Kaiserbacteria
OTU465,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Phormidiaceae,g__Tychonema_CCAP_1459-11B
OTU466,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,__
OTU467,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriae,f__Acidobacteriae,g__Paludibaculum
OTU468,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__D05-2,g__Roseibium
OTU469,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Promicromonosporaceae,g__Cellulosimicrobium
OTU470,d__Bacteria,p__Verrucomicrobiota,c__Omnitrophia,o__Omnitrophales,__,__
OTU471,d__Bacteria,p__GAL15,c__GAL15,o__GAL15,f__GAL15,g__GAL15
OTU472,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__Lineage_IV,f__Lineage_IV,g__Lineage_IV
OTU473,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Cohnella
OTU474,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Pontibacter
OTU475,d__Bacteria,p__WS2,c__WS2,o__WS2,f__WS2,g__WS2
OTU476,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,__,__
OTU477,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__211ds20,f__211ds20,g__211ds20
OTU478,d__Bacteria,p__Latescibacterota,c__Latescibacteria,o__Latescibacterales,f__Latescibacteraceae,g__Latescibacteraceae
OTU479,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Rhizocola
OTU480,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Aetherobacter
OTU481,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__OLB12
OTU482,d__Bacteria,p__Planctomycetota,c__Pla3_lineage,o__Pla3_lineage,f__Pla3_lineage,g__Pla3_lineage
OTU483,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__AT-s3-44,f__AT-s3-44,g__AT-s3-44
OTU484,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_10
OTU485,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Stenotrophobacter
OTU486,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__uncultured
OTU487,d__Bacteria,p__Firmicutes,c__Incertae_Sedis,o__DTU014,f__DTU014,g__DTU014
OTU488,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Holosporales,f__Holosporaceae,g__uncultured
OTU489,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Chloroflexaceae,g__Oscillochloris
OTU490,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__Peredibacter
OTU491,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,__
OTU492,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrosococcales,f__Nitrosococcaceae,g__Thioprofundum
OTU493,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flaviaesturariibacter
OTU494,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Paracaedibacterales,f__Paracaedibacteraceae,g__Candidatus_Paracaedibacter
OTU495,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Mesorhizobium
OTU496,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,__
OTU497,d__Bacteria,p__Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfocapsaceae,__
OTU498,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__uncultured
OTU499,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,__,__
OTU500,d__Bacteria,p__Elusimicrobiota,c__Lineage_IIb,o__Lineage_IIb,f__Lineage_IIb,g__Lineage_IIb
OTU501,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__NS11-12_marine_group,g__NS11-12_marine_group
OTU502,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Gallionellaceae,g__Candidatus_Nitrotoga
OTU503,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Proteiniboraceae,g__Proteiniborus
OTU504,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Agrococcus
OTU505,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Dactylosporangium
OTU506,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Actinomarinales,f__Actinomarinales,g__Actinomarinales
OTU507,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__MVP-88,f__MVP-88,g__MVP-88
OTU508,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas
OTU509,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Sporacetigenium
OTU510,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Thermopolyspora
OTU511,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Thermomonosporaceae,g__Thermostaphylospora
OTU512,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Frankiaceae,g__Jatrophihabitans
OTU513,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Puia
OTU514,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__IS-44
OTU515,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group
OTU516,d__Bacteria,p__Firmicutes,c__Symbiobacteriia,o__Symbiobacteriales,f__Symbiobacteraceae,g__Symbiobacterium
OTU517,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,__
OTU518,d__Bacteria,p__Gemmatimonadota,__,__,__,__
OTU519,d__Eukaryota,p__Mollusca,__,__,__,__
OTU520,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__HN-HF0106
OTU521,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Shimazuella
OTU522,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Stackebrandtia
OTU523,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__uncultured
OTU524,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter
OTU525,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__1-20,f__1-20,g__1-20
OTU526,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured
OTU527,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__Actinomarinicola
OTU528,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__JG36-GS-52,f__JG36-GS-52,g__JG36-GS-52
OTU529,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,__
OTU530,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter
OTU531,d__Bacteria,p__Latescibacterota,__,__,__,__
OTU532,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnobacter
OTU533,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Rhodothermales,f__Rhodothermaceae,g__Rhodothermaceae
OTU534,d__Bacteria,p__Firmicutes,c__Syntrophomonadia,o__Syntrophomonadales,f__Syntrophomonadaceae,g__uncultured
OTU535,d__Bacteria,p__Bacteroidota,c__SJA-28,o__SJA-28,f__SJA-28,g__SJA-28
OTU536,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__KF-JG30-C25,f__KF-JG30-C25,g__KF-JG30-C25
OTU537,d__Bacteria,p__Planctomycetota,c__Pla4_lineage,o__Pla4_lineage,f__Pla4_lineage,g__Pla4_lineage
OTU538,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Anaerolinea
OTU539,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter
OTU540,d__Bacteria,p__Bacteroidota,c__Kryptonia,o__Kryptoniales,f__BSV26,g__BSV26
OTU541,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__I-8
OTU542,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobiaceae
OTU543,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02
OTU544,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Filomicrobium
OTU545,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Catellatospora
OTU546,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,__
OTU547,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__Cystobacter
OTU548,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__uncultured
OTU549,d__Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__Fimbriimonadaceae
OTU550,d__Bacteria,p__Elusimicrobiota,c__Lineage_IIa,o__Lineage_IIa,f__Lineage_IIa,g__Lineage_IIa
OTU551,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA011-D5,g__SCGC_AAA011-D5
OTU552,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__E1B-B3-114
OTU553,d__Bacteria,p__RCP2-54,c__RCP2-54,o__RCP2-54,f__RCP2-54,g__RCP2-54
OTU554,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Blastocatella
OTU555,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,__
OTU556,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Caenimonas
OTU557,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,__
OTU558,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Solirubrobacteraceae
OTU559,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Tyzzerella
OTU560,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,__
OTU561,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__uncultured
OTU562,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cytophagaceae,g__Rhodocytophaga
OTU563,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,__,__
OTU564,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__uncultured,g__uncultured
OTU565,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,__,__
OTU566,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Luedemannella
OTU567,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Subgroup_9,f__Subgroup_9,g__Subgroup_9
OTU568,d__Bacteria,p__Patescibacteria,c__Parcubacteria,__,__,__
OTU569,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Aridibacter
OTU570,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Lechevalieria
OTU571,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Rubinisphaeraceae,g__SH-PL14
OTU572,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Limibaculum
OTU573,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichales,g__Microtrichales
OTU574,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Labilithrix
OTU575,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Dyadobacter
OTU576,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Psychroglaciecola
OTU577,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter
OTU578,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Coxiellales,f__Coxiellaceae,g__Coxiella
OTU579,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__A0839,g__A0839
OTU580,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__ADurb.Bin063-1
OTU581,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__uncultured
OTU582,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__uncultured,f__uncultured,g__uncultured
OTU583,d__Bacteria,p__Deferrisomatota,c__Defferrisomatia,o__Defferrisomatales,f__Defferrisomataceae,g__Deferrisoma
OTU584,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__27F-1492R,g__27F-1492R
OTU585,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Thermomonosporaceae,g__Actinomadura
OTU586,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Lacibacter
OTU587,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Variibacter
OTU588,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,__
OTU589,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Kineosporia
OTU590,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,__
OTU591,d__Bacteria,p__Firmicutes,c__Clostridia,o__Caldicoprobacterales,f__Caldicoprobacteraceae,g__Caldicoprobacter
OTU592,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Gracilibacteraceae,__
OTU593,d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Yanofskybacteria,f__Candidatus_Yanofskybacteria,g__Candidatus_Yanofskybacteria
OTU594,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hirschia
OTU595,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Halieaceae,g__OM60(NOR5)_clade
OTU596,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__Vermiphilaceae
OTU597,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_12,f__Subgroup_12,g__Subgroup_12
OTU598,d__Bacteria,p__Hydrogenedentes,c__Hydrogenedentia,o__Hydrogenedentiales,f__Hydrogenedensaceae,g__Hydrogenedensaceae
OTU599,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavitalea
OTU600,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Amb-16S-1323,g__Amb-16S-1323
OTU601,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__Arboricoccus
OTU602,d__Bacteria,p__Chloroflexi,c__P2-11E,o__P2-11E,f__P2-11E,g__P2-11E
OTU603,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Minicystis
OTU604,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__uncultured
OTU605,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas
OTU606,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Roseobacter_clade_CHAB-I-5_lineage
OTU607,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Singulisphaera
OTU608,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Cellulomonadaceae,g__Actinotalea
OTU609,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__uncultured
OTU610,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__Ruminiclostridium
OTU611,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Baia
OTU612,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter
OTU613,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__JG36-TzT-191,f__JG36-TzT-191,g__JG36-TzT-191
OTU614,d__Bacteria,p__Patescibacteria,c__Dojkabacteria,o__Dojkabacteria,f__Dojkabacteria,g__Dojkabacteria
OTU615,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__37-13,g__37-13
OTU616,d__Bacteria,p__Myxococcota,c__Polyangia,o__Nannocystales,f__Nannocystaceae,g__uncultured
OTU617,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__S32,g__TM7
OTU618,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Sphaerisporangium
OTU619,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Geodermatophilaceae,g__Klenkia
OTU620,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum
OTU621,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__uncultured
OTU622,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Inquilinaceae,g__Inquilinus
OTU623,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Kiloniellales,f__Fodinicurvataceae,g__uncultured
OTU624,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Herbinix
OTU625,d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__Desulfuromonadia,f__Desulfuromonadaceae,g__Desulfuromonas
OTU626,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_3
OTU627,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis
OTU628,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__uncultured,f__uncultured,g__uncultured
OTU629,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__uncultured
OTU630,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,__
OTU631,d__Bacteria,p__Armatimonadota,__,__,__,__
OTU632,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,__
OTU633,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__uncultured
OTU634,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Noviherbaspirillum
OTU635,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Paenisporosarcina
OTU636,d__Bacteria,p__Firmicutes,c__Clostridia,o__Christensenellales,f__Christensenellaceae,g__Christensenellaceae_R-7_group
OTU637,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Ammoniphilus
OTU638,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__CL500-3
OTU639,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcales-Tissierellales,__
OTU640,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__Oligoflexales,g__Oligoflexales
OTU641,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Luteimonas
OTU642,d__Bacteria,p__WPS-2,c__WPS-2,o__WPS-2,f__WPS-2,g__WPS-2
OTU643,d__Bacteria,p__Chloroflexi,c__Chloroflexia,__,__,__
OTU644,d__Bacteria,p__Patescibacteria,c__uncultured,o__uncultured,f__uncultured,g__uncultured
OTU645,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,__,__
OTU646,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus
OTU647,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioidaceae
OTU648,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__uncultured,g__uncultured
OTU649,d__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales-Selenomonadales,f__Sporomusaceae,g__uncultured
OTU650,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium
OTU651,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__AKIW659,f__AKIW659,g__AKIW659
OTU652,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Nostoc_PCC-73102
OTU653,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter
OTU654,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Paracaedibacterales,f__Paracaedibacteraceae,g__uncultured
OTU655,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Azotobacter
OTU656,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Spongiibacteraceae,g__BD1-7_clade
OTU657,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__SM2D12
OTU658,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Verrucomicrobium
OTU659,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Rubritepida
OTU660,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Umezawaea
OTU661,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__FFCH5858
