,Domain,Phylum,Class,Order,Family,Genus
OTU87,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas
OTU88,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,__
OTU89,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Actinoplanes
OTU90,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,__
OTU91,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadales,g__Saccharimonadales
OTU92,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__Rokubacteriales,g__Rokubacteriales
OTU93,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,__
OTU94,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus
OTU95,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,__
OTU96,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,__
OTU97,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,__
OTU98,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__DS-100,f__DS-100,g__DS-100
OTU99,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__uncultured,g__uncultured
OTU100,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,__,__
OTU101,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II
OTU102,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__uncultured
OTU103,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_1
OTU104,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__IMCC26256,g__IMCC26256
OTU105,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__Methyloligellaceae
OTU106,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Actinomarinales,f__uncultured,g__uncultured
OTU107,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Nocardia
OTU108,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,__,__
OTU109,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,__
OTU110,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Altererythrobacter
OTU111,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Solirubrobacter
OTU112,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__S085,f__S085,g__S085
OTU113,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,__
OTU114,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__uncultured,g__uncultured
OTU115,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,g__Skermanella
OTU116,d__Bacteria,p__Gemmatimonadota,c__BD2-11_terrestrial_group,o__BD2-11_terrestrial_group,f__BD2-11_terrestrial_group,g__BD2-11_terrestrial_group
OTU117,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium
OTU118,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__MND1
OTU119,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__TRA3-20,g__TRA3-20
OTU120,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Iamiaceae,g__Iamia
OTU121,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,__
OTU122,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__uncultured,f__uncultured,g__uncultured
OTU123,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Pseudonocardia
OTU124,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Subgroup_7,f__Subgroup_7,g__Subgroup_7
OTU125,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Euzebyales,f__Euzebyaceae,g__uncultured
OTU126,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Williamsia
OTU127,d__Bacteria,p__Entotheonellaeota,c__Entotheonellia,o__Entotheonellales,f__Entotheonellaceae,g__Entotheonellaceae
OTU128,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,__,__
OTU129,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,__
OTU130,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__11-24,f__11-24,g__11-24
OTU131,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20
OTU132,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Chryseolinea
OTU133,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Pseudarthrobacter
OTU134,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__Unknown_Family,g__uncultured
OTU135,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,g__Polycyclovorans
OTU136,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group
OTU137,d__Bacteria,p__Gemmatimonadota,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__Longimicrobiaceae
OTU138,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium
OTU139,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,__,__,__
OTU140,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__SC-I-84
OTU141,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaeraceae
OTU142,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium
OTU143,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__uncultured
OTU144,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus
OTU145,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria
OTU146,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__Methylothermalis
OTU147,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Mumia
OTU148,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,__,__,__
OTU149,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Promicromonosporaceae,__
OTU150,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__uncultured
OTU151,d__Bacteria,p__Firmicutes,c__Bacilli,__,__,__
OTU152,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__IMCC26207
OTU153,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,__
OTU154,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__Unknown_Family,g__Acidibacter
OTU155,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__uncultured
OTU156,d__Bacteria,p__Proteobacteria,__,__,__,__
OTU157,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Micromonospora
OTU158,d__Bacteria,p__Chloroflexi,c__OLB14,o__OLB14,f__OLB14,g__OLB14
OTU159,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,__
OTU160,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__uncultured,g__uncultured
OTU161,d__Bacteria,p__Actinobacteriota,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteriaceae,g__Rubrobacter
OTU162,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__uncultured
OTU163,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__uncultured
OTU164,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__KI89A_clade,f__KI89A_clade,g__KI89A_clade
OTU165,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,__
OTU166,d__Bacteria,p__Myxococcota,__,__,__,__
