,ITS_1,ITS_2,ITS_3,ITS_4,ITS_5,ITS_6,ITS_7,ITS_9,ITS_10,ITS_11,ITS_13,ITS_14,ITS_15,ITS_16,ITS_17,ITS_18,ITS_19,ITS_20,ITS_21,ITS_22,ITS_23,ITS_24,ITS_25,ITS_26,ITS_27,ITS_28,ITS_29,ITS_30,ITS_31,ITS_32,ITS_33,ITS_34,ITS_35,ITS_36,ITS_37,ITS_38,ITS_39,ITS_40,ITS_41,ITS_42,ITS_43,ITS_44,ITS_45,ITS_46,ITS_47,ITS_48,ITS_49,ITS_50,ITS_51,ITS_52,ITS_53,ITS_54,ITS_55,ITS_56,ITS_57,ITS_58,ITS_59,ITS_60
OTU603,0.012524901,0.01693133,0.017366785,0.016597763,0.007774855,0.016973316,0.017878734,0.007029877,0.014370213,0.006976715,0.010103578,0.003841652,0.006826248,0.009887246,0.029590232,0.007198891,0.013551363,0.012934783,0.024613913,0.016414793,0.015356906,0.016494568,0.002811347,0.004383473,0.008058414,0.007016072,0.002180545,0.004415406,0.002145153,0,0.006466961,0.002834018,0.001474181,0.003281056,0.010504749,0.010960751,0.015390444,0.015834579,0.007129037,0.01276051,0.009767376,0.00337944,0.014179608,0.005595604,0.017265108,0.019071034,0.052409942,0.005528077,0.00273843,0.004681379,0.006553248,0.003502242,0.006833068,0.010397942,0.004205571,0.006818009,0.006758723,0.004580655
OTU604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000423467,0,0.009841371,0.001088721,0.010426049,0.009405667,0.014715255,0.021281918,6.11E-05,0,0,0.000228537,0,0
OTU605,0,0,0.000141577,0.001331651,0.001036164,9.17E-05,8.92E-05,0,0,0,0,0,0,0,0,0,0,9.32E-05,0,5.39E-05,0,0.000294546,9.43E-05,0,0,0,0,0.000117332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000246174,0,0,0,0.002022654,7.51E-05,0.007714912,0.002145453,0.011533717,0.017523414,0.003310982,0.000843857,0,0.001135065,0,0
OTU606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55E-05,0,0,0,0,0,0,0,0,0
OTU607,0,0,6.49E-05,0,0,0,0,0,1.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000405823,0,0,0,0,0.001458908,0.000884046,0.001275207,0,0,0,0,0,0
OTU608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU609,0.000188226,0,0.00012388,4.35E-05,5.80E-05,0.000204668,0.000782938,0.000105872,0,0,0,0.000180909,0,9.17E-05,0,0,0,0,0,0,0,0.000294546,0.00030189,0.000195009,0,0,0.000215247,0,0.000287084,0,0,3.33E-05,8.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76E-05,0,0,0,0,0,4.24E-05,0.000106206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU611,0,0,0,3.48E-05,0,0,0,0,0,0,0,0,0,6.55E-05,0,0,0,6.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93E-05,0,0,0,0,0,0
OTU612,0.000439195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143065,0.000377362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
